company_name_kr,ticker,industry,aliases
그린생명과학,114450,제약,"그린생명과학, GREEN LIFESCIENCE"
그린케미칼,083420,화학,"그린케미칼보통주, GREEN CHEMICAL"
그린플러스,186230,금속,"그린플러스, GREEN PLUS Co., Ltd"
극동유화,014530,화학,"극동유화보통주, KukdongOil&Chem."
GST,083450,기계·장비,"글로벌스탠다드테크놀로지, Global Standard Technology Co., Ltd."
글로벌에스엠,900070,금융,"글로벌에스엠테크리미티드, Global SM Tech Limited"
글로벌텍스프리,204620,금융,"글로벌텍스프리, Global Tax Free Co., Ltd."
글로본,019660,유통,"글로본, GLOBON CO., LTD."
금강공업우,014285,금속,"금강공업1우선주, KUMKANG KIND(1P)"
금강공업,014280,금속,"금강공업보통주, KUMKANG KIND"
금강철강,053260,금속,"금강철강, KEUM KANG STEEL CO., LTD"
금비,008870,비금속,"금비보통주, Kumbi"
금양그린파워,282720,건설,"금양그린파워, KUMYANG GREEN POWER CO., Ltd."
금양,001570,화학,"금양보통주, Kumyang"
금호건설우,002995,건설,"금호건설1우선주, KUMHOE&C(1P)"
금호건설,002990,건설,"금호건설보통주, KUMHOE&C"
금호석유화학우,011785,화학,"금호석유화학1우선주, KumhoPetrochemical(1P)"
금호석유화학,011780,화학,"금호석유화학보통주, KumhoPetrochemical"
금호에이치티,214330,운송장비·부품,"금호에이치티보통주, Kumho HT, Inc."
금호전기,001210,전기·전자,"금호전기보통주, KumhoElectric"
금호타이어,073240,화학,"금호타이어보통주, KUMHOTIRECO.,INC"
금화피에스시,036190,건설,"금화피에스시, GEUMHWA PSC CO.,LTD."
기가레인,049080,전기·전자,"기가레인, GIGALANE Co., Ltd."
기가비스,420770,기계·장비,"기가비스, GigaVis Co., Ltd."
기산텔레콤,035460,전기·전자,"기산텔레콤, Kisan Telecom CO.,Ltd"
기신정기,092440,기계·장비,"기신정기 보통주, KISHIN CORPORATION"
기아,000270,운송장비·부품,"기아보통주, KIA CORPORATION"
까뮤이앤씨,013700,건설,"까뮤이앤씨보통주, CAMUS ENGINEERING & CONSTRUCTION Inc."
깨끗한나라우,004545,종이·목재,"깨끗한나라1우선주, KleanNara(1P)"
깨끗한나라,004540,종이·목재,"깨끗한나라보통주, KleanNara"
꿈비,407400,기타제조,"꿈비, GGUMBI Inc."
나노,187790,화학,"나노, NANO. Co., Ltd."
나노신소재,121600,화학,"나노신소재, Advanced Nano Products Co.,Ltd"
나노실리칸첨단소재,286750,화학,"나노실리칸첨단소재, NanoSilikhan Advanced Materials"
나노씨엠에스,247660,전기·전자,"나노씨엠에스, NANOCMS CO.,LTD"
나노엔텍,039860,의료·정밀기기,"나노엔텍, NanoenTek,Inc."
나노캠텍,091970,화학,"나노캠텍, Nano Chem Tech Inc."
나노팀,417010,기계·장비,"나노팀, NanoTIM Co. Ltd."
나라셀라,405920,유통,"나라셀라, NARA CELLAR Co.,Ltd."
나라엠앤디,051490,기계·장비,"나라엠앤디, NARA MOLD & DIE CO., LTD."
나래나노텍,137080,기계·장비,"나래나노텍, NARAE NANOTECH CORPORATION"
나무가,190510,전기·전자,"나무가, Namuga Co.,Ltd"
나무기술,242040,IT 서비스,"나무기술, NAMU TECH CO.,LTD."
나우로보틱스,459510,기계·장비,"나우로보틱스, NAUROBOTICS Co., Ltd."
나우IB,293580,금융,"나우아이비캐피탈, NAU IB Capital"
나이벡,138610,제약,"나이벡, NIBEC CO., LTD."
나이스디앤비,130580,일반서비스,"나이스디앤비, NICE D&B CO., LTD."
나이스정보통신,036800,통신,"나이스정보통신, NICE INFORMATION&TELECOMMUNICATION INC."
NICE평가정보,030190,IT 서비스,"나이스평가정보보통주, NICE Information Service"
나인테크,267320,기계·장비,"나인테크, Naintech. CO.,LTD."
남광토건,001260,건설,"남광토건보통주, NamkwangEngineering&Construction"
남선알미우,008355,금속,"남선알미늄1우선주, NamsunAluminium(1P)"
남선알미늄,008350,금속,"남선알미늄보통주, NamsunAluminium"
남성,004270,유통,"남성보통주, Namsung"
남양유업우,003925,음식료·담배,"남양유업1우선주, NamyangDairyProducts(1P)"
남양유업,003920,음식료·담배,"남양유업보통주, NamyangDairyProducts"
남해화학,025860,화학,"남해화학보통주, NamhaeChemical"
남화산업,111710,오락·문화,"남화산업, Namhwa Industrial Co.,Ltd"
남화토건,091590,건설,"남화토건, Nam Hwa Construction Company, Limited"
내츄럴엔도텍,168330,일반서비스,"내츄럴엔도텍, Naturalendo Tech Co., Ltd"
네오리진,094860,IT 서비스,"네오리진, NEORIGIN"
네오셈,253590,기계·장비,"네오셈, Neosem Inc."
네오오토,212560,운송장비·부품,"네오오토, NEOOTO Co., Ltd."
네오위즈,095660,IT 서비스,"네오위즈, NEOWIZ"
네오위즈홀딩스,042420,IT 서비스,"네오위즈홀딩스, NEOWIZ HOLDINDS Corporation"
